date,club,tournament,finish,wins,losses
2024-02-03,DFW Elite,North Texas Winter Classic,1,5,0
2024-02-03,Metro Select,North Texas Winter Classic,3,3,2
2024-02-03,Lone Star Juniors,North Texas Winter Classic,5,2,3
2024-02-10,DFW Elite,Lonestar Challenge Cup,2,4,1
2024-02-10,Metro Select,Lonestar Challenge Cup,4,3,2
2024-02-17,Lone Star Juniors,Presidents Day Showcase,2,4,1
2024-02-17,Panther City,Presidents Day Showcase,6,2,3
2024-02-24,DFW Elite,North Texas Grand Prix,3,3,2
2024-02-24,Metro Select,North Texas Grand Prix,1,5,0
2024-02-24,Panther City,North Texas Grand Prix,4,2,3
2024-03-02,DFW Elite,Metro Showdown,4,2,3
2024-03-02,Metro Select,Metro Showdown,2,4,1
2024-03-02,Lone Star Juniors,Metro Showdown,6,1,4
2024-03-02,Panther City,Metro Showdown,3,3,2
2024-03-09,DFW Elite,Spring Break Bash,1,5,0
2024-03-09,Metro Select,Spring Break Bash,5,2,3
2024-03-09,Lone Star Juniors,Spring Break Bash,3,3,2
2024-03-09,Panther City,Spring Break Bash,4,2,3
